Task ID,TP,FN,FP,Precision,Recall,F1
615,1,0,0,1.0,1.0,1.0
614,0,0,1,0.0,0.0,0.0
613,0,0,0,0.0,0.0,0.0
612,0,0,1,0.0,0.0,0.0
611,1,0,0,1.0,1.0,1.0
610,0,0,1,0.0,0.0,0.0
609,0,0,1,0.0,0.0,0.0
608,0,0,1,0.0,0.0,0.0
607,1,0,0,1.0,1.0,1.0
606,0,0,1,0.0,0.0,0.0
605,0,0,0,0.0,0.0,0.0
604,1,0,0,1.0,1.0,1.0
603,1,0,0,1.0,1.0,1.0
602,0,0,0,0.0,0.0,0.0
601,1,0,0,1.0,1.0,1.0
600,1,0,0,1.0,1.0,1.0
599,0,0,1,0.0,0.0,0.0
598,0,0,0,0.0,0.0,0.0
597,0,1,0,0.0,0.0,0.0
596,0,0,1,0.0,0.0,0.0
595,0,0,1,0.0,0.0,0.0
594,0,0,0,0.0,0.0,0.0
593,1,0,0,1.0,1.0,1.0
592,0,1,0,0.0,0.0,0.0
591,0,3,0,0.0,0.0,0.0
590,1,0,0,1.0,1.0,1.0
589,0,0,0,0.0,0.0,0.0
588,0,0,1,0.0,0.0,0.0
587,1,0,0,1.0,1.0,1.0
586,0,0,0,0.0,0.0,0.0
585,0,1,0,0.0,0.0,0.0
584,1,0,0,1.0,1.0,1.0
583,1,0,0,1.0,1.0,1.0
582,0,1,0,0.0,0.0,0.0
581,0,0,0,0.0,0.0,0.0
580,0,0,0,0.0,0.0,0.0
579,0,0,1,0.0,0.0,0.0
578,0,0,1,0.0,0.0,0.0
577,0,0,1,0.0,0.0,0.0
576,0,0,0,0.0,0.0,0.0
575,0,1,0,0.0,0.0,0.0
574,1,0,0,1.0,1.0,1.0
573,0,0,0,0.0,0.0,0.0
572,1,0,0,1.0,1.0,1.0
571,0,0,1,0.0,0.0,0.0
570,0,0,0,0.0,0.0,0.0
569,1,0,0,1.0,1.0,1.0
568,0,0,1,0.0,0.0,0.0
567,0,0,1,0.0,0.0,0.0
566,0,0,0,0.0,0.0,0.0
565,0,0,1,0.0,0.0,0.0
564,0,0,0,0.0,0.0,0.0
563,0,0,0,0.0,0.0,0.0
562,0,0,0,0.0,0.0,0.0
561,0,0,1,0.0,0.0,0.0
560,0,0,0,0.0,0.0,0.0
559,0,0,0,0.0,0.0,0.0
558,0,0,0,0.0,0.0,0.0
557,0,0,1,0.0,0.0,0.0
556,0,0,1,0.0,0.0,0.0
555,1,0,0,1.0,1.0,1.0
554,0,0,0,0.0,0.0,0.0
553,0,0,0,0.0,0.0,0.0
552,0,0,0,0.0,0.0,0.0
551,1,0,0,1.0,1.0,1.0
550,0,0,1,0.0,0.0,0.0
549,0,0,0,0.0,0.0,0.0
548,0,0,1,0.0,0.0,0.0
547,0,0,0,0.0,0.0,0.0
546,1,0,0,1.0,1.0,1.0
545,0,5,0,0.0,0.0,0.0
544,0,0,0,0.0,0.0,0.0
543,0,0,0,0.0,0.0,0.0
542,0,0,0,0.0,0.0,0.0
541,1,0,0,1.0,1.0,1.0
540,0,0,0,0.0,0.0,0.0
539,0,0,0,0.0,0.0,0.0
538,0,0,0,0.0,0.0,0.0
537,0,0,0,0.0,0.0,0.0
536,1,0,0,1.0,1.0,1.0
535,0,0,1,0.0,0.0,0.0
534,0,0,1,0.0,0.0,0.0
533,0,0,0,0.0,0.0,0.0
532,1,0,0,1.0,1.0,1.0
531,0,0,1,0.0,0.0,0.0
530,1,0,0,1.0,1.0,1.0
529,0,0,0,0.0,0.0,0.0
528,0,0,0,0.0,0.0,0.0
527,0,0,0,0.0,0.0,0.0
526,0,1,0,0.0,0.0,0.0
525,0,0,1,0.0,0.0,0.0
524,0,0,0,0.0,0.0,0.0
523,1,0,0,1.0,1.0,1.0
522,0,0,0,0.0,0.0,0.0
521,0,0,1,0.0,0.0,0.0
520,0,0,1,0.0,0.0,0.0
519,0,0,1,0.0,0.0,0.0
518,0,0,1,0.0,0.0,0.0
517,0,1,0,0.0,0.0,0.0
516,0,0,0,0.0,0.0,0.0
515,0,0,1,0.0,0.0,0.0
514,1,0,0,1.0,1.0,1.0
513,0,0,1,0.0,0.0,0.0
512,1,0,0,1.0,1.0,1.0
511,0,0,1,0.0,0.0,0.0
510,1,0,0,1.0,1.0,1.0
509,1,9,0,1.0,0.1,0.18181818181818182
508,0,0,1,0.0,0.0,0.0
507,1,0,0,1.0,1.0,1.0
506,0,0,0,0.0,0.0,0.0
505,0,0,1,0.0,0.0,0.0
504,0,0,0,0.0,0.0,0.0
503,1,0,0,1.0,1.0,1.0
502,1,0,0,1.0,1.0,1.0
501,0,0,1,0.0,0.0,0.0
500,0,0,1,0.0,0.0,0.0
499,0,0,1,0.0,0.0,0.0
498,0,0,1,0.0,0.0,0.0
497,0,0,0,0.0,0.0,0.0
496,0,0,1,0.0,0.0,0.0
495,0,0,1,0.0,0.0,0.0
494,0,0,0,0.0,0.0,0.0
493,0,0,1,0.0,0.0,0.0
492,0,0,1,0.0,0.0,0.0
491,0,0,1,0.0,0.0,0.0
490,0,0,1,0.0,0.0,0.0
489,0,0,0,0.0,0.0,0.0
488,0,0,1,0.0,0.0,0.0
487,0,0,0,0.0,0.0,0.0
486,0,0,1,0.0,0.0,0.0
485,0,1,0,0.0,0.0,0.0
484,7,0,0,1.0,1.0,1.0
483,0,1,0,0.0,0.0,0.0
479,0,1,0,0.0,0.0,0.0
478,0,0,0,0.0,0.0,0.0
476,0,0,0,0.0,0.0,0.0
475,0,1,0,0.0,0.0,0.0
474,1,0,0,1.0,1.0,1.0
472,0,0,0,0.0,0.0,0.0
471,1,2,0,1.0,0.3333333333333333,0.5
470,1,0,0,1.0,1.0,1.0
463,0,0,0,0.0,0.0,0.0
461,1,0,0,1.0,1.0,1.0
455,1,0,0,1.0,1.0,1.0
454,1,0,0,1.0,1.0,1.0
453,0,0,0,0.0,0.0,0.0
450,0,0,1,0.0,0.0,0.0
446,0,0,0,0.0,0.0,0.0
442,0,0,0,0.0,0.0,0.0
441,0,0,1,0.0,0.0,0.0
439,0,0,0,0.0,0.0,0.0
438,0,0,1,0.0,0.0,0.0
437,0,0,0,0.0,0.0,0.0
435,1,0,0,1.0,1.0,1.0
434,1,0,0,1.0,1.0,1.0
433,1,0,0,1.0,1.0,1.0
432,1,0,0,1.0,1.0,1.0
431,1,0,0,1.0,1.0,1.0
430,1,0,0,1.0,1.0,1.0
429,1,0,0,1.0,1.0,1.0
426,1,0,0,1.0,1.0,1.0
425,1,0,0,1.0,1.0,1.0
424,1,0,0,1.0,1.0,1.0
423,1,0,0,1.0,1.0,1.0
422,1,0,0,1.0,1.0,1.0
420,1,0,0,1.0,1.0,1.0
419,1,0,0,1.0,1.0,1.0
418,1,0,0,1.0,1.0,1.0
417,1,0,0,1.0,1.0,1.0
416,1,0,0,1.0,1.0,1.0
415,1,0,0,1.0,1.0,1.0
414,1,0,0,1.0,1.0,1.0
413,1,0,0,1.0,1.0,1.0
412,1,0,0,1.0,1.0,1.0
411,1,0,0,1.0,1.0,1.0
410,1,0,0,1.0,1.0,1.0
409,1,0,0,1.0,1.0,1.0
408,1,0,0,1.0,1.0,1.0
407,1,0,0,1.0,1.0,1.0
406,4,0,0,1.0,1.0,1.0
403,1,0,0,1.0,1.0,1.0
402,1,0,0,1.0,1.0,1.0
401,1,0,0,1.0,1.0,1.0
400,1,0,0,1.0,1.0,1.0
399,1,0,0,1.0,1.0,1.0
398,1,0,0,1.0,1.0,1.0
397,1,0,0,1.0,1.0,1.0
396,1,0,0,1.0,1.0,1.0
395,1,0,0,1.0,1.0,1.0
393,1,0,0,1.0,1.0,1.0
392,1,0,0,1.0,1.0,1.0
391,0,0,0,0.0,0.0,0.0
390,1,0,0,1.0,1.0,1.0
389,0,0,1,0.0,0.0,0.0
388,1,0,0,1.0,1.0,1.0
387,1,0,0,1.0,1.0,1.0
386,1,0,0,1.0,1.0,1.0
385,0,0,0,0.0,0.0,0.0
384,1,0,0,1.0,1.0,1.0
383,1,0,0,1.0,1.0,1.0
382,0,0,1,0.0,0.0,0.0
381,1,0,0,1.0,1.0,1.0
380,1,0,0,1.0,1.0,1.0
379,0,0,0,0.0,0.0,0.0
378,1,0,0,1.0,1.0,1.0
377,0,0,1,0.0,0.0,0.0
376,0,0,0,0.0,0.0,0.0
375,1,0,0,1.0,1.0,1.0
374,0,0,0,0.0,0.0,0.0
373,1,0,0,1.0,1.0,1.0
372,1,0,0,1.0,1.0,1.0
371,1,0,0,1.0,1.0,1.0
370,0,0,0,0.0,0.0,0.0
369,1,0,0,1.0,1.0,1.0
368,1,1,0,1.0,0.5,0.6666666666666666
367,1,0,0,1.0,1.0,1.0
366,1,0,0,1.0,1.0,1.0
365,3,0,0,1.0,1.0,1.0
364,2,0,0,1.0,1.0,1.0
363,1,0,0,1.0,1.0,1.0
362,1,0,0,1.0,1.0,1.0
361,1,0,0,1.0,1.0,1.0
360,2,0,0,1.0,1.0,1.0
359,1,0,0,1.0,1.0,1.0
358,1,0,0,1.0,1.0,1.0
357,0,0,1,0.0,0.0,0.0
356,0,0,1,0.0,0.0,0.0
355,0,0,1,0.0,0.0,0.0
354,0,1,0,0.0,0.0,0.0
353,0,0,1,0.0,0.0,0.0
352,1,0,0,1.0,1.0,1.0
351,0,21,1,0.0,0.0,0.0
350,6,10,0,1.0,0.375,0.5454545454545454
349,7,19,1,0.875,0.2692307692307692,0.411764705882353
347,2,0,0,1.0,1.0,1.0
345,1,0,0,1.0,1.0,1.0
343,3,0,0,1.0,1.0,1.0
342,3,0,0,1.0,1.0,1.0
341,3,0,0,1.0,1.0,1.0
340,3,0,0,1.0,1.0,1.0
339,16,1,0,1.0,0.9411764705882353,0.9696969696969697
338,7,26,0,1.0,0.21212121212121213,0.35
337,2,25,0,1.0,0.07407407407407407,0.13793103448275862
336,2,0,0,1.0,1.0,1.0
334,1,0,0,1.0,1.0,1.0
333,1,0,0,1.0,1.0,1.0
331,1,0,0,1.0,1.0,1.0
330,1,0,0,1.0,1.0,1.0
329,1,0,0,1.0,1.0,1.0
328,1,0,0,1.0,1.0,1.0
326,1,0,0,1.0,1.0,1.0
325,1,0,0,1.0,1.0,1.0
324,1,0,0,1.0,1.0,1.0
322,1,0,0,1.0,1.0,1.0
321,1,0,0,1.0,1.0,1.0
320,1,0,0,1.0,1.0,1.0
319,1,0,0,1.0,1.0,1.0
318,1,0,0,1.0,1.0,1.0
316,1,0,0,1.0,1.0,1.0
315,3,0,0,1.0,1.0,1.0
314,6,0,0,1.0,1.0,1.0
313,1,0,0,1.0,1.0,1.0
312,1,0,0,1.0,1.0,1.0
311,2,0,0,1.0,1.0,1.0
310,1,0,0,1.0,1.0,1.0
309,1,0,0,1.0,1.0,1.0
308,1,0,0,1.0,1.0,1.0
307,1,0,0,1.0,1.0,1.0
306,1,0,0,1.0,1.0,1.0
305,1,0,0,1.0,1.0,1.0
304,1,0,0,1.0,1.0,1.0
303,1,0,0,1.0,1.0,1.0
302,1,0,0,1.0,1.0,1.0
301,1,0,0,1.0,1.0,1.0
300,1,0,0,1.0,1.0,1.0
299,1,0,0,1.0,1.0,1.0
298,1,0,0,1.0,1.0,1.0
296,1,0,0,1.0,1.0,1.0
295,1,0,0,1.0,1.0,1.0
294,1,0,0,1.0,1.0,1.0
293,1,0,0,1.0,1.0,1.0
292,1,0,0,1.0,1.0,1.0
291,1,0,0,1.0,1.0,1.0
290,1,0,0,1.0,1.0,1.0
289,1,0,0,1.0,1.0,1.0
288,1,0,0,1.0,1.0,1.0
287,1,0,0,1.0,1.0,1.0
285,1,0,0,1.0,1.0,1.0
284,1,0,0,1.0,1.0,1.0
283,1,0,0,1.0,1.0,1.0
282,1,0,0,1.0,1.0,1.0
281,1,0,0,1.0,1.0,1.0
280,1,0,0,1.0,1.0,1.0
278,1,0,0,1.0,1.0,1.0
277,1,0,0,1.0,1.0,1.0
276,1,0,0,1.0,1.0,1.0
275,1,0,0,1.0,1.0,1.0
274,1,0,0,1.0,1.0,1.0
273,1,0,0,1.0,1.0,1.0
271,1,0,0,1.0,1.0,1.0
270,1,0,0,1.0,1.0,1.0
269,1,0,0,1.0,1.0,1.0
268,1,0,0,1.0,1.0,1.0
267,1,0,0,1.0,1.0,1.0
215,0,1,0,0.0,0.0,0.0
214,1,0,0,1.0,1.0,1.0
213,1,0,0,1.0,1.0,1.0
212,0,0,1,0.0,0.0,0.0
211,0,0,1,0.0,0.0,0.0
210,0,0,0,0.0,0.0,0.0
209,1,0,0,1.0,1.0,1.0
208,1,0,0,1.0,1.0,1.0
207,1,0,0,1.0,1.0,1.0
206,0,1,0,0.0,0.0,0.0
204,1,0,0,1.0,1.0,1.0
203,1,0,0,1.0,1.0,1.0
202,0,0,1,0.0,0.0,0.0
201,0,1,0,0.0,0.0,0.0
200,1,0,0,1.0,1.0,1.0
199,0,1,0,0.0,0.0,0.0
198,1,0,0,1.0,1.0,1.0
197,1,0,0,1.0,1.0,1.0
196,0,0,1,0.0,0.0,0.0
195,0,0,1,0.0,0.0,0.0
194,1,0,0,1.0,1.0,1.0
193,1,0,0,1.0,1.0,1.0
192,1,0,0,1.0,1.0,1.0
191,1,0,0,1.0,1.0,1.0
190,0,0,0,0.0,0.0,0.0
189,1,0,0,1.0,1.0,1.0
188,1,0,0,1.0,1.0,1.0
187,1,0,0,1.0,1.0,1.0
186,1,0,0,1.0,1.0,1.0
185,1,0,0,1.0,1.0,1.0
184,1,0,0,1.0,1.0,1.0
183,1,0,0,1.0,1.0,1.0
182,0,1,0,0.0,0.0,0.0
181,1,0,0,1.0,1.0,1.0
180,1,0,0,1.0,1.0,1.0
179,1,0,0,1.0,1.0,1.0
178,1,0,0,1.0,1.0,1.0
177,1,0,0,1.0,1.0,1.0
176,1,0,0,1.0,1.0,1.0
175,0,0,1,0.0,0.0,0.0
174,0,0,2,0.0,0.0,0.0
173,1,0,0,1.0,1.0,1.0
172,0,0,0,0.0,0.0,0.0
171,1,0,0,1.0,1.0,1.0
170,1,0,0,1.0,1.0,1.0
169,0,0,1,0.0,0.0,0.0
168,1,0,0,1.0,1.0,1.0
167,0,0,0,0.0,0.0,0.0
166,1,0,0,1.0,1.0,1.0
165,1,0,0,1.0,1.0,1.0
164,1,0,0,1.0,1.0,1.0
163,1,0,0,1.0,1.0,1.0
162,0,0,1,0.0,0.0,0.0
161,1,0,0,1.0,1.0,1.0
160,0,0,1,0.0,0.0,0.0
159,1,0,0,1.0,1.0,1.0
158,1,0,0,1.0,1.0,1.0
157,0,0,2,0.0,0.0,0.0
156,1,0,0,1.0,1.0,1.0
155,1,0,0,1.0,1.0,1.0
154,1,0,0,1.0,1.0,1.0
153,1,0,0,1.0,1.0,1.0
152,1,0,0,1.0,1.0,1.0
151,1,0,0,1.0,1.0,1.0
150,1,0,0,1.0,1.0,1.0
149,0,0,0,0.0,0.0,0.0
148,1,0,0,1.0,1.0,1.0
147,1,0,0,1.0,1.0,1.0
146,1,0,0,1.0,1.0,1.0
145,0,1,0,0.0,0.0,0.0
144,0,0,0,0.0,0.0,0.0
142,1,0,0,1.0,1.0,1.0
141,0,1,0,0.0,0.0,0.0
140,1,0,0,1.0,1.0,1.0
139,0,0,0,0.0,0.0,0.0
138,1,0,0,1.0,1.0,1.0
137,2,0,0,1.0,1.0,1.0
136,2,0,0,1.0,1.0,1.0
135,1,0,0,1.0,1.0,1.0
134,1,0,0,1.0,1.0,1.0
133,0,0,0,0.0,0.0,0.0
132,0,0,1,0.0,0.0,0.0
131,0,0,1,0.0,0.0,0.0
130,1,0,0,1.0,1.0,1.0
129,0,1,0,0.0,0.0,0.0
128,1,0,0,1.0,1.0,1.0
127,1,0,0,1.0,1.0,1.0
126,1,0,0,1.0,1.0,1.0
125,1,0,0,1.0,1.0,1.0
124,0,0,0,0.0,0.0,0.0
122,0,0,1,0.0,0.0,0.0
86,0,0,1,0.0,0.0,0.0
85,0,0,0,0.0,0.0,0.0
84,1,0,0,1.0,1.0,1.0
83,0,0,1,0.0,0.0,0.0
82,1,0,0,1.0,1.0,1.0
81,0,0,1,0.0,0.0,0.0
80,0,1,0,0.0,0.0,0.0
79,0,0,0,0.0,0.0,0.0
78,1,0,0,1.0,1.0,1.0
77,1,0,0,1.0,1.0,1.0
76,1,0,0,1.0,1.0,1.0
75,2,0,0,1.0,1.0,1.0
74,2,0,0,1.0,1.0,1.0
73,1,0,0,1.0,1.0,1.0
72,0,0,1,0.0,0.0,0.0
71,1,0,0,1.0,1.0,1.0
70,0,0,0,0.0,0.0,0.0
69,1,0,0,1.0,1.0,1.0
68,0,0,0,0.0,0.0,0.0
67,1,0,0,1.0,1.0,1.0
66,5,0,0,1.0,1.0,1.0
65,0,0,1,0.0,0.0,0.0
64,1,0,0,1.0,1.0,1.0
63,0,0,1,0.0,0.0,0.0
62,3,0,0,1.0,1.0,1.0
61,1,0,0,1.0,1.0,1.0
60,0,0,0,0.0,0.0,0.0
59,0,0,1,0.0,0.0,0.0
58,0,0,1,0.0,0.0,0.0
57,0,0,1,0.0,0.0,0.0
56,0,0,1,0.0,0.0,0.0
55,1,0,0,1.0,1.0,1.0
54,0,0,1,0.0,0.0,0.0
53,2,0,0,1.0,1.0,1.0
52,1,0,0,1.0,1.0,1.0
51,0,0,0,0.0,0.0,0.0
50,1,0,0,1.0,1.0,1.0
49,1,0,0,1.0,1.0,1.0
48,1,0,0,1.0,1.0,1.0
47,1,0,0,1.0,1.0,1.0
46,0,0,1,0.0,0.0,0.0
45,1,0,0,1.0,1.0,1.0
